Code Postal Valide,Code Postal Invalide
15682,99326
65304,20546
16108,33855
28881,89092
56905,46475
63585,93471
17875,15478
43604,68330
75581,20424
73460,18218
21428,38090
19636,98950
54786,21122
93832,49911
65092,26168
44760,83054
63925,66468
32506,61202
74180,20536
05481,42393
46797,70751
22529,68365
08063,60860
55226,86985
52721,68434
26115,48501
32210,12645
18634,26617
52647,52856
06217,52824
75125,95538
29449,63300
76430,38221
87083,86165
72104,44573
68782,69451
81479,44610
87993,75190
75948,48157
81972,41251
51790,47970
83665,80957
03480,36295
06769,63462
91063,63651
06101,29390
00212,89642
85570,53871
36356,89698
42084,78232
34317,90903
89373,86086
50574,35085
93409,21878
16438,39147
46164,62163
58498,89567
26372,13223
39201,61414
05590,80151
63308,71561
91764,15731
04924,69895
25503,62755
74868,55316
55246,32112
84897,81004
27867,45026
26674,12884
68419,65912
30073,91137
06309,92987
94157,26860
23782,54031
72815,62604
03904,71098
21659,62525
15026,98694
31989,23409
78280,35228
48341,55403
52696,46948
74490,10974
91244,99490
04080,13481
37660,26047
87949,25225
13960,20462
41891,17064
20831,27309
13210,81501
15569,75655
06927,55103
35184,26542
97522,49682
98754,96697
69715,90389
10812,60544
90843,49550
45165,55917
30075,21632
37390,86319
74857,86632
99888,60030
11449,47582
59528,30141
11992,12835
82490,24954
54074,59452
06611,93523
12586,92175
21264,23423
66220,62082
50324,42628
64289,80306
26424,84787
42764,99545
12037,89047
24324,94473
48344,30503
21833,38394
70947,74409
44017,67781
16778,79905
07690,21115
47670,85020
85006,61360
52941,81789
56684,28155
68791,97613
96339,86365
77998,48316
75635,95557
02525,33621
89554,72558
40320,93110
64536,78537
41017,63853
84115,21708
72297,78847
43989,24713
54565,81296
21859,31891
94693,37769
78759,54364
65708,22691
61561,82914
74340,76901
84620,11205
05220,34859
25165,86861
23683,90495
18161,59480
69176,66806
85677,54069
60635,21338
21349,51649
84903,99621
94555,35722
60229,78759
55931,50895
56974,53510
17967,94652
18709,87572
63449,82350
19073,85157
45703,16202
62810,54170
84124,22560
61327,94722
04967,21762
10121,81387
45096,42409
87872,63123
18854,50679
59852,83634
36473,86556
88743,50980
57440,68225
20501,76658
42291,63377
15948,67940
63084,23662
15065,39958
21540,90526
16743,35185
39753,98162
07539,17323
03702,38285
70954,83335
95806,50627
07501,61872
83246,72605
58938,47449
65949,76363
76397,32144
10764,22950
91873,34328
03979,87579
43866,59851
